asset_id,grade,status,alpha,transparent_ratio,dimensions,size_mb,issues,recommended_action
core_portal_holographic_neon_symmetric,A,approved,True,0.8599,1536x1024,2.01,subject touches canvas edge; verify crop at small sizes,ship
capability_portal_energy_futuristic_bleu_et_violet,A,approved,True,0.4234,1254x1254,2.64,subject touches canvas edge; verify crop at small sizes,ship
scene_reactor_holographic_futuristic_en_levitation,A,approved,True,0.4672,1254x1254,2.82,subject touches canvas edge; verify crop at small sizes,ship
memory_holographic_network_d_ai,A,approved,True,0.6791,1254x1254,2.29,subject touches canvas edge; verify crop at small sizes,ship
memory_neural_network_holographic_neon,A,approved,True,0.9073,1254x1254,1.52,subject touches canvas edge; verify crop at small sizes,ship
scene_vr_lounge_futuristic_holographic_luxueux,A,approved,True,0.294,1254x1254,2.7,subject touches canvas edge; verify crop at small sizes,ship
capability_sphere_holographic_de_management_documents,A,approved,True,0.5436,1254x1254,2.23,subject touches canvas edge; verify crop at small sizes,ship
ui_dashboard_d_automation_futuristic,B,review,False,0.0,1024x1536,1.77,,review/optimize
ui_dashboard_futuristic_jarvis_x2,B,review,False,0.0,1024x1536,1.65,,review/optimize
ui_dashboard_holographic_analytics,B,review,False,0.0,1024x1536,1.85,,review/optimize
ui_dashboard_holographic_des_active_agents,B,review,False,0.0,1024x1536,1.81,,review/optimize
ui_dashboard_holographic_des_documents,B,review,False,0.0,1024x1536,1.78,,review/optimize
ui_dashboard_holographic_jarvis_x2,B,review,False,0.0,1024x1536,1.79,,review/optimize
memory_dashboard_holographic_memory_connectee,A,approved,True,0.3268,1024x1536,2.09,subject touches canvas edge; verify crop at small sizes,ship
ui_dashboard_jarvis_x2_dev_studio,B,review,False,0.0,1024x1536,1.69,,review/optimize
capability_tableau_de_navigation_holographic_futuristic,B,review,False,0.0,1024x1536,1.78,"opaque background; use as scene/card, not floating asset",review/optimize
capability_tableau_weather_futuristic_de_location,A,approved,True,0.3011,1024x1536,2.39,,ship
